rawText,ingredientMasterId
4종혼합유산균,541
Bifidobacterium breve,541
L-아스코브산칼슘,305
Lacticaseibacillus rhamnosus,541
Lactiplantibacillus plantarum HAC01 프로바이오틱스(제2022-21호),56
건조효모분말,90
"건조효모분말(가루, 과립)",90
과.채가공품,305
난소화성말토덱스트린,153
락추로스파우더(기능성원료인정제2009-40호),201
"비타민 B2분말(가루, 과립)",303
"비피도박테리움 롱굼 비피더스균{BIFIDOBACTERIUM LONGUM의 생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
"비피도박테리움 롱굼 비피더스균{BIFIDOBACTERIUM LONGUM의 생균으로 50,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
"스트렙토코쿠스 써모필루스 유산균{STREPTOCOCCUS THERMOPHILUS의 생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
와사비잎추출물(NCWL01)(제2023-17호),412
자일로올리고당분말(기능성원료인정제2009-80호),442
저분자콜라겐펩타이드(기능성원료인정제2013-30호),452
저분자콜라겐펩타이드NS(기능성원료인정제2019-20호),455
카제인칼슘,163
Bacillus coagulans SNZ 1969 프로바이오틱스(제2023-34호),8
"Lactobacillus plantarum분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 보호제 및 희석제 적량)",541
Lactobacillus reuteri,541
UREX 프로바이오틱스(기능성원료인정제2014-27호),87
돌외잎주정추출분말(기능성원료 인정 제2013-8호),186
들기름,560
로즈마리추출물등복합물(기능성원료인정제2021-18호),210
마리골드꽃추출물(지아잔틴함유)(제2024-25호),232
매스틱 검(기능성원료인정제2014-50호),237
보라지 종자유지(Oil),109
보라지종자유,109
비타민B1질산염혼합제제,301
알콕시글리세롤 함유 상어간유(고시형),383
인디안구스베리추출물,305
허니부쉬추출발효분말(기능성원료인정제2017-3호),568
헛개나무과병추출분말(기능성원료인정제2008-55호),570
홍삼발효 농축액,586
Lactobacillus acidophilus YT1(기능성원료인정제2019-22호),61
달맞이꽃종자 추출물(고시형),166
대두단백분말,163
발효율피추출분말(기능성원료인정제2021-4호),270
베타카로틴혼합제제분말,277
분말비타민A(비타민A로서9.7%함유),300
"비타민 D3분말(가루, 과립)",306
"비피도박테리움 비피둠 비피더스균{BIFIDOBACTERIUM BIFIDUM의 생균으로 50,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
스피루리나,347
스피루리나원말,348
쏘팔메토열매(고시형),363
아스코르빈산칼슘(고시형),305
콘드로이친황산염(제2025-63호),494
피크노제놀-프랑스해안송껍질추출물(기능성원료인정제2006-1호),558
혼합유산균6종,541
B.breve IDCC 4401(BBR4401) 열처리배양건조물(기능성원료인정제2021-5호),5
EPA 및 DHA 함유유지,25
Lactiplantibacillus plantarum TWK10 프로바이오틱스(제2022-32호),64
MSM,389
Streptococcus thermophilus,541
구절초추출물(기능성원료인정제2021-12호),130
난각막가수분해물(NEM®)(제2024-9호),151
니코틴산아미드혼합제제,147
대두단백,163
대두레시틴(고시형),208
"디메틸설폰(Methyl sulfonylmethane, MSM)",389
락티카제이바실러스 람노서스 아이디씨씨3201 열처리배양건조물(제2018-12호),48
레몬밤민들레추출복합물(LD100)(기능성원료제2022-23호),205
리프리놀-초록입홍합추출오일(기능성원료인정제2009-49호),224
"비타민 D3 혼합제제유지(Oil)(비타민D3 2.5%, 중쇄중성지방산오일 97.25%, 비타민E 0.25%)",306
